,campaign,size,t0,t1,decision,datatier
0,RunIIFall17DRPremix,1317,679,638,delete,GEN-SIM-RECODEBUG
1,RunIIFall17DRPremix,825,18,807,delete,GEN-SIM-RECO
2,RunIIFall17DRPremix,38,19,19,delete,GEN-SIM-RAW
3,RunIIAutumn18DRPremix,960,122,838,delete,GEN-SIM-RECO
4,RunIIAutumn18DRPremix,106,58,48,delete,GEN-SIM-RAW
5,RunIIAutumn18DRPremix,55,17,37,delete,GEN-SIM-RECODEBUG
6,RunIISummer16DR80Premix,277,1,276,delete,GEN-SIM-RECO
7,RunIISummer16DR80Premix,14,0,14,delete,GEN-SIM-RECODEBUG
8,PhaseIITDRFall17DR,3481,1369,2112,delete,GEN-SIM-RECO
9,PhaseIITDRFall17DR,294,154,140,delete,GEN-SIM-DIGI-RAW
10,RunIIAutumn18DR,2419,154,2266,delete,GEN-SIM-DIGI-RAW
11,RunIIAutumn18DR,575,146,430,delete,GEN-SIM-RAW
12,RunIIAutumn18DR,108,35,73,delete,GEN-SIM-RECO
13,RunIISummer19ULPrePremix,3140,0,3140,delete,PREMIX
14,RunIISummer19UL18HLT,3136,81,3055,delete,GEN-SIM-RAW
15,RunIISummer19UL18RECO,2189,151,2037,delete,AODSIM
16,RunIISummer19UL18RECO,715,51,664,delete,GEN-SIM-RECODEBUG
17,PhaseIITDRSpring17DR,1761,0,1761,delete,GEN-SIM-RECO
18,PhaseIITDRSpring17DR,497,0,497,delete,GEN-SIM-DIGI-RAW
19,RunIISummer19UL17RECO,2163,108,2056,delete,AODSIM
20,RunIISummer19UL18DIGIPremix,2187,81,2106,delete,GEN-SIM-DIGI
21,RunIIFall15DR76,168,0,168,delete,GEN-SIM-RECODEBUG
22,Fall11,16,0,16,delete,GEN-SIM-RAW-HLTDEBUG
23,Fall11,13,0,13,delete,GEN-SIM-RECODEBUG
24,Summer12,17,0,17,delete,GEN
25,Summer12,17,0,17,delete,RECODEBUG
26,Summer12,12,0,12,delete,GEN-SIM-RAW-RECO
27,Summer12,9,0,9,delete,GEN-SIM-DIGI-RAW
28,RunIISummer19UL16RECOAPV,1337,365,972,delete,AODSIM
29,RunIISummer19UL16RECO,1203,184,1019,delete,AODSIM
30,RunIISummer19UL16RECO,105,31,73,delete,GEN-SIM-RECODEBUG
