Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
1237,1237,/DYToLL_M-10to50_1jEnh2_2jEnh35_3jEnh40_4jEnh50_7TeV-sherpa/Fall11-sherpack_PU_S6_START42_V14B-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,6.6056,DPOA
2506,2506,/SMS-MadGraph_T1bbbb_2J_mGo-1125to1400_mLSP-900to1350_50GeVX50GeV_Binning_8TeV-Pythia6Zstar/Summer12-START52_V9_FSIM-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,2.23382,DPOA
2782,2782,/Z2Jets_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,1.83166,DPOA
2885,2885,/B0ToPsiMuMu_2MuPEtaFilter_Tight_7TeV-pythia6-evtgen/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,1.71517,DPOA
3013,3013,/B0ToPsiMuMu_2MuPEtaFilter_Tight_7TeV-pythia6-evtgen/Fall11-HLTBPh2011_START42_V14B-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,1.56354,DPOA
3209,3209,/ZJetToMuMu_Pt-15to3000_TuneZ2_Flat_7TeV_pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,1.37556,DPOA
3490,3490,/BsToMuMu_BsFilter_8TeV-pythia6-evtgen/Summer12-PU_S7_START50_V15-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,1.16826,DPOA
3658,3658,/BuToJPsiK_K2MuFilter_7TeV-pythia6-evtgen/Fall11-HLTBPh2011_START42_V14B-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,1.01196,DPOA
3994,3994,/DYJetsToNuNu_pT100GeV_4Jets_7TeV-madgraph_v2/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.81753,DPOA
4742,4742,/QCD_Pt-15to20_MuPt5Enriched_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.55437,DPOA
5091,5091,/ZZTo2e2muJJ_BSM25HContinInterf_M-125p6_7TeV-phantom-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.45929,DPOA
5113,5113,/ZZTo2e2muJJ_BSM10HContinInterf_M-125p6_7TeV-phantom-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.45655,DPOA
5127,5127,/ZZTo2e2muJJ_SMHContinInterf_M-125p6_7TeV-phantom-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.45504,DPOA
5571,5571,/DYJetsToNuNu_pT100GeV_3Jets_7TeV-madgraph_v2/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.39051,DPOA
5954,5954,/VBF_HWWToENuMuNu_woTOP_w1_7TeV-phantom/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.34511,DPOA
6117,6117,/WbbToLNu_PtW-100_7TeV-mcatnlo-photos/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.33156,DPOA
6506,6506,/WbbToLNu_7TeV-mcatnlo-photos/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.30773,DPOA
6666,6666,/Cosmics/Run2015C-01Mar2016-v1/AOD,T0_CH_CERN_Tape,AOD,0.28878,DPOA
6984,6984,/DYJetsToNuNu_pT100GeV_2Jets_7TeV-madgraph_v2/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.24764,DPOA
6995,6995,/SUSYBBHToBB_M-140_MuEnrichedPt14_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.24575,DPOA
7040,7040,/SUSYBBHToBB_M-90_MuEnrichedPt14_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.23932,DPOA
7077,7077,/WHiggs0MToWWTo2L2NU_M-125p6_7TeV-JHUGenV4/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.23555,DPOA
7104,7104,/ZZTo4muJJ_BSM10HContinInterf_M-125p6_7TeV-phantom-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.23315,DPOA
7122,7122,/WHiggs0Mf05ph0ToWWTo2L2NU_M-125p6_7TeV-JHUGenV4/Fall11-PU_S6_START42_V14B-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,0.23148,DPOA
7134,7134,/ZZTo4muJJ_SMHContinInterf_M-125p6_7TeV-phantom-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.23068,DPOA
7164,7164,/SUSYBBHToBB_M-130_MuEnrichedPt14_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.22868,DPOA
7166,7166,/ZZTo4eJJ_BSM10HContinInterf_M-125p6_7TeV-phantom-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.22863,DPOA
7194,7194,/ZZTo4muJJ_Contin_7TeV-phantom-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.22709,DPOA
7237,7237,/ZZTo4eJJ_Contin_7TeV-phantom-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.22379,DPOA
7274,7274,/ZZTo4eJJ_SMHContinInterf_M-125p6_7TeV-phantom-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.22161,DPOA
7369,7369,/LM6_SUSY_sftsht_7TeV-pythia6/Fall11-E7TeV_Ave32_50ns-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,0.21713,DPOA
7465,7465,/SUSYBBHToBB_M-120_MuEnrichedPt14_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.21332,DPOA
7524,7524,/LM9_SUSY_sftsht_7TeV-pythia6/Fall11-E7TeV_Ave32_50ns-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,0.21168,DPOA
7602,7602,/SUSYBBHToBB_M-100_MuEnrichedPt14_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.20877,DPOA
8380,8380,/VBF_HWWToMuNuMuNu_woTOP_w5_7TeV-phantom/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.18544,DPOA
8632,8632,/VBF_HWWToMuNuMuNu_woTOP_w3_7TeV-phantom/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.17627,DPOA
8693,8693,/VBF_HWWToENuENu_woTOP_w1_7TeV-phantom/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.17347,DPOA
8729,8729,/LM6_SUSY_sftsht_7TeV-pythia6/Fall11-E7TeV_Ave23_50ns-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.17157,DPOA
8836,8836,/QCD_Pt-1800_TuneD6T_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.16653,DPOA
