,Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
7,8,8,/PMSSM_set_2_prompt_2_TuneCP2_13TeV-pythia8/RunIIAutumn18FSPremix-GridpackScan_102X_upgrade2018_realistic_v15-v3/AODSIM,T0_CH_CERN_Tape,AODSIM,330.9693,Run 2 pre-legacy MC
35,54,54,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,90.74568,Run 2 pre-legacy MC
36,55,55,/MinBias_TuneCP5_13TeV-pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v9-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,89.26612,Run 2 pre-legacy MC
51,73,73,/MET/Run2017F-09May2018-v1/AOD,T0_CH_CERN_Tape,AOD,76.24986,Run 2 pre-legacy data
64,87,87,/BdToKstarMuMu_BMuonFilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIFall17GS-N1_93X_mc2017_realistic_v3-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,71.34281,Run 2 pre-legacy MC
66,89,89,/TTJets_SingleLeptFromT_genMET-80_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,69.64434,Run 2 pre-legacy MC
71,98,98,/BsToJpsiPhi_JpsiPhiFilterDG0_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIFall18GS-102X_upgrade2018_realistic_v11-v2/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,66.15957,Run 2 pre-legacy MC
100,130,130,/QCD_Pt_300to470_TuneCP5_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3_ext1-v3/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,56.00071,Run 2 pre-legacy MC
116,155,155,/GJet_Pt-40toInf_DoubleEMEnriched_MGG-80toInf_TuneCP5_13TeV_Pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,47.5284,Run 2 pre-legacy MC
120,161,161,/BToJpsi_ToMuMu_BMuonFilter_HardQCD_TuneCP5_13TeV-pythia8-evtgen/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,46.38253,Run 2 pre-legacy MC
