,dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse.1,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,category
1,/BTagCSV/Run2016D-03Feb2017-v1/MINIAOD,T2_US_MIT,2.01607,1/1/70,0,584,584,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2,/SingleElectron/Run2016D-18Apr2017-v1/MINIAOD,T2_UK_London_IC,3.64472,1/1/70,0,1052,1052,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
3,/JetHT/Run2016E-03Feb2017-v1/MINIAOD,T1_US_FNAL_Disk,2.49656,8/15/21,1629064476000,669,669,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
5,/SinglePhoton/Run2017B-17Nov2017-v1/AOD,T1_US_FNAL_Disk,4.21865,6/5/20,1591339717000,1218,1218,['t1_us_fnal_disk_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
6,/HIExpressPhysics/HIRun2018A-Express-v1/FEVT,T2_CH_CERN,190.46522,1/1/70,0,42760,42760,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIN
7,/SingleMuon/Run2017E-31Mar2018-v1/MINIAOD,T3_FR_IPNL,4.90246,9/16/21,1631810498000,1523,1523,['t3_fr_ipnl_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
8,/DoubleEG/Run2017F-17Nov2017-v1/MINIAOD,T2_US_Florida,2.87981,7/14/20,1594695955000,1024,1024,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
12,/JetHT/Run2018C-PromptReco-v3/MINIAOD,T2_US_Purdue,1.32631,1/1/70,0,460,460,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
14,/ZeroBias/Run2015D-PromptReco-v3/RECO,T2_CH_CERN,72.26972,1/1/70,0,17998,17998,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
15,/SMS-T6qqWW_dM20_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_Wisconsin,2.51078,9/6/20,1599432898000,1065,1065,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
16,/DY1JetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM,T2_DE_DESY,1.46262,12/12/20,1607813944000,417,417,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
17,/SMS-T2qq-LLChipm_ctau-50_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15_ext1-v1/MINIAODSIM,T2_US_Purdue,2.43138,5/22/20,1590172413000,949,949,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
18,/SMS-T6bbllslepton_mSbottom-800To1375_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15-v1/MINIAODSIM,T2_US_Nebraska,1.74276,2/2/20,1580601824000,598,598,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
19,/SMS-T8bbllnunu_XCha0p5_XSlep0p95_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv3-PUSummer16v3Fast_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T1_US_FNAL_Disk,1.40617,5/22/20,1590187181000,477,477,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
22,/SingleMuon/Run2015D-PromptReco-v4/RECO,T2_CH_CERN,64.95396,1/1/70,0,11268,11268,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
25,/EWKZ2Jets_ZToLL_M-50_14TeV-madgraph-pythia8/PhaseIITDRFall17DR-PU200_93X_upgrade2023_realistic_v2-v1/GEN-SIM-RECO,T1_ES_PIC_Disk,4.48306,1/1/70,0,168,168,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
26,/JetMET/Run2010A-Apr21ReReco-v1/AOD,T3_CH_CERN_OpenData,2.29965,1/1/70,0,2048,2048,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
27,/BTagCSV/Run2016B-17Jul2018_ver2-v1/MINIAOD,T2_US_Purdue,2.1875,9/22/21,1632282518000,620,620,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
28,/SingleElectron/Run2016B-23Sep2016-v3/MINIAOD,T2_IT_Legnaro,5.75973,1/1/70,0,2022,2022,['t2_it_legnaro_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
29,/ZeroBias/Run2015D-PromptReco-v4/RECO,T2_CH_CERN,64.9415,1/1/70,0,15725,15725,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
30,/Tau/Run2016H-03Feb2017_ver2-v1/MINIAOD,T2_CH_CERN,2.39994,1/1/70,0,680,680,['t2_ch_cern_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
33,/HIMinimumBias2/HIRun2015-PromptReco-v1/AOD,T2_US_Vanderbilt,61.2536,6/19/20,1592595475000,19781,19781,['sync_t2_us_vanderbilt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIN
35,/JpsiToMuMu_JpsiPt8_TuneCP5_13TeV-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_Florida,1.74903,8/26/21,1629977857000,595,595,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
