,dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse.1,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,category
0,/ZeroBias9/Commissioning2021-v1/RAW,T1_US_FNAL_Disk,17.59188,1/1/70,0,3041,3041,['tier0_prod'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commissioning + Cosmics
4,/QCD_Pt-15to7000_TuneCP5_Flat_14TeV-pythia8/Phase2HLTTDRWinter20DIGI-FlatPU0To200_castor_110X_mcRun4_realistic_v3-v2/GEN-SIM-DIGI-RAW,T2_US_Florida,245.76034,7/29/20,1595984942000,11581,11581,['sync_t2_us_florida'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
9,/ggH_HToSSTodddd_MH-125_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18DRPremix-rp_102X_upgrade2018_realistic_v15-v1/GEN-SIM-RECO,T2_DE_DESY,88.99248,8/31/20,1598835120000,1500,1500,['sync_t2_de_desy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
10,/SingleMuon/Run2018B-UL2018_MiniAODv2-v1/MINIAOD,T1_US_FNAL_Disk,1.80767,8/25/21,1629908098000,584,584,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
11,/JetHT/Run2018D-JetHTJetPlusHOFilter-12Nov2019_UL2018-v3/RAW-RECO,T1_US_FNAL_Disk,76.72626,1/1/70,0,24464,24464,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
13,/SingleMuon/Run2018D-12Nov2019_UL2018-v8/AOD,T2_EE_Estonia,66.36406,7/11/21,1626035127000,5800,5800,['crab_tape_recall'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
20,/ZeroBias/Run2018D-SiStripCalZeroBias-12Nov2019_UL2018-v3/ALCARECO,T2_BR_SPRACE,70.07821,1/20/20,1579521872000,23396,23396,['sync_t2_br_sprace'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
21,/WGToLNuG_01J_5f_PDFWeights_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,T2_US_Florida,1.22193,8/1/21,1627780461000,559,559,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
23,/TT_FullLept_scaledown_8TeV-mcatnlo/Summer12_DR53X-PU_S10_START53_V19-v1/AODSIM,T3_CH_CERN_OpenData,1.14743,1/1/70,0,349,349,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
24,/TT_SemiLept_noCorr_mass169_5_8TeV-mcatnlo/Summer12_DR53X-PU_S10_START53_V19-v2/AODSIM,T3_CH_CERN_OpenData,2.44444,1/1/70,0,655,655,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
31,/JetHT/Run2018D-HcalCalIsoTrkFilter-12Nov2019_UL2018-v3/ALCARECO,T1_US_FNAL_Disk,63.93836,1/1/70,0,19593,19593,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
32,/SingleMuon/Run2018A-12Nov2019_UL2018-v4/MINIAOD,T1_US_FNAL_Disk,3.66513,1/1/70,0,1210,1210,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
34,/TT_TuneCP5_14TeV-powheg-pythia8/Phase2HLTTDRWinter20DIGI-PU200_110X_mcRun4_realistic_v3-v2/GEN-SIM-DIGI-RAW,T1_FR_CCIN2P3_Disk,4.99968,8/10/21,1628595193000,500,500,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
41,/DYJetsToTauTau_M-50_AtLeastOneEorMuDecay_massWgtFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,T1_US_FNAL_Disk,1.32332,1/1/70,0,438,438,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
42,/QCD_HT-1000ToInf_TuneZ2star_8TeV-madgraph-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,T2_DE_DESY,5.85327,9/29/20,1601410338000,1655,1655,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
43,/ZeroBias/Run2017E-09Aug2019_UL2017-v1/MINIAOD,T2_US_Nebraska,1.85511,8/31/21,1630429180000,671,671,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
53,/ZeroBias/Run2018D-SiStripCalMinBias-12Nov2019_UL2018-v3/ALCARECO,T1_US_FNAL_Disk,54.5837,1/20/20,1579523921000,17473,17473,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
