dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ZeroBias9/Commissioning2021-v1/RAW,T1_US_FNAL_Disk,17.59188,1/1/70,0,3041,3041,['tier0_prod'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/BTagCSV/Run2016D-03Feb2017-v1/MINIAOD,T2_US_MIT,2.01607,1/1/70,0,584,584,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleElectron/Run2016D-18Apr2017-v1/MINIAOD,T2_UK_London_IC,3.64472,1/1/70,0,1052,1052,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/JetHT/Run2016E-03Feb2017-v1/MINIAOD,T1_US_FNAL_Disk,2.49656,8/15/21,1629064476000,669,669,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/QCD_Pt-15to7000_TuneCP5_Flat_14TeV-pythia8/Phase2HLTTDRWinter20DIGI-FlatPU0To200_castor_110X_mcRun4_realistic_v3-v2/GEN-SIM-DIGI-RAW,T2_US_Florida,245.76034,7/29/20,1595984942000,11581,11581,['sync_t2_us_florida'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SinglePhoton/Run2017B-17Nov2017-v1/AOD,T1_US_FNAL_Disk,4.21865,6/5/20,1591339717000,1218,1218,['t1_us_fnal_disk_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/HIExpressPhysics/HIRun2018A-Express-v1/FEVT,T2_CH_CERN,190.46522,1/1/70,0,42760,42760,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleMuon/Run2017E-31Mar2018-v1/MINIAOD,T3_FR_IPNL,4.90246,9/16/21,1631810498000,1523,1523,['t3_fr_ipnl_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/DoubleEG/Run2017F-17Nov2017-v1/MINIAOD,T2_US_Florida,2.87981,7/14/20,1594695955000,1024,1024,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ggH_HToSSTodddd_MH-125_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18DRPremix-rp_102X_upgrade2018_realistic_v15-v1/GEN-SIM-RECO,T2_DE_DESY,88.99248,8/31/20,1598835120000,1500,1500,['sync_t2_de_desy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleMuon/Run2018B-UL2018_MiniAODv2-v1/MINIAOD,T1_US_FNAL_Disk,1.80767,8/25/21,1629908098000,584,584,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/JetHT/Run2018D-JetHTJetPlusHOFilter-12Nov2019_UL2018-v3/RAW-RECO,T1_US_FNAL_Disk,76.72626,1/1/70,0,24464,24464,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/JetHT/Run2018C-PromptReco-v3/MINIAOD,T2_US_Purdue,1.32631,1/1/70,0,460,460,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleMuon/Run2018D-12Nov2019_UL2018-v8/AOD,T2_EE_Estonia,66.36406,7/11/21,1626035127000,5800,5800,['crab_tape_recall'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ZeroBias/Run2015D-PromptReco-v3/RECO,T2_CH_CERN,72.26972,1/1/70,0,17998,17998,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SMS-T6qqWW_dM20_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_Wisconsin,2.51078,9/6/20,1599432898000,1065,1065,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/DY1JetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM,T2_DE_DESY,1.46262,12/12/20,1607813944000,417,417,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SMS-T2qq-LLChipm_ctau-50_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15_ext1-v1/MINIAODSIM,T2_US_Purdue,2.43138,5/22/20,1590172413000,949,949,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SMS-T6bbllslepton_mSbottom-800To1375_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15-v1/MINIAODSIM,T2_US_Nebraska,1.74276,2/2/20,1580601824000,598,598,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SMS-T8bbllnunu_XCha0p5_XSlep0p95_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv3-PUSummer16v3Fast_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T1_US_FNAL_Disk,1.40617,5/22/20,1590187181000,477,477,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ZeroBias/Run2018D-SiStripCalZeroBias-12Nov2019_UL2018-v3/ALCARECO,T2_BR_SPRACE,70.07821,1/20/20,1579521872000,23396,23396,['sync_t2_br_sprace'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/WGToLNuG_01J_5f_PDFWeights_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,T2_US_Florida,1.22193,8/1/21,1627780461000,559,559,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleMuon/Run2015D-PromptReco-v4/RECO,T2_CH_CERN,64.95396,1/1/70,0,11268,11268,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TT_FullLept_scaledown_8TeV-mcatnlo/Summer12_DR53X-PU_S10_START53_V19-v1/AODSIM,T3_CH_CERN_OpenData,1.14743,1/1/70,0,349,349,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TT_SemiLept_noCorr_mass169_5_8TeV-mcatnlo/Summer12_DR53X-PU_S10_START53_V19-v2/AODSIM,T3_CH_CERN_OpenData,2.44444,1/1/70,0,655,655,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/EWKZ2Jets_ZToLL_M-50_14TeV-madgraph-pythia8/PhaseIITDRFall17DR-PU200_93X_upgrade2023_realistic_v2-v1/GEN-SIM-RECO,T1_ES_PIC_Disk,4.48306,1/1/70,0,168,168,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/JetMET/Run2010A-Apr21ReReco-v1/AOD,T3_CH_CERN_OpenData,2.29965,1/1/70,0,2048,2048,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/BTagCSV/Run2016B-17Jul2018_ver2-v1/MINIAOD,T2_US_Purdue,2.1875,9/22/21,1632282518000,620,620,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleElectron/Run2016B-23Sep2016-v3/MINIAOD,T2_IT_Legnaro,5.75973,1/1/70,0,2022,2022,['t2_it_legnaro_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ZeroBias/Run2015D-PromptReco-v4/RECO,T2_CH_CERN,64.9415,1/1/70,0,15725,15725,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Tau/Run2016H-03Feb2017_ver2-v1/MINIAOD,T2_CH_CERN,2.39994,1/1/70,0,680,680,['t2_ch_cern_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/JetHT/Run2018D-HcalCalIsoTrkFilter-12Nov2019_UL2018-v3/ALCARECO,T1_US_FNAL_Disk,63.93836,1/1/70,0,19593,19593,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleMuon/Run2018A-12Nov2019_UL2018-v4/MINIAOD,T1_US_FNAL_Disk,3.66513,1/1/70,0,1210,1210,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/HIMinimumBias2/HIRun2015-PromptReco-v1/AOD,T2_US_Vanderbilt,61.2536,6/19/20,1592595475000,19781,19781,['sync_t2_us_vanderbilt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TT_TuneCP5_14TeV-powheg-pythia8/Phase2HLTTDRWinter20DIGI-PU200_110X_mcRun4_realistic_v3-v2/GEN-SIM-DIGI-RAW,T1_FR_CCIN2P3_Disk,4.99968,8/10/21,1628595193000,500,500,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/JpsiToMuMu_JpsiPt8_TuneCP5_13TeV-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_Florida,1.74903,8/26/21,1629977857000,595,595,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SMS-T2bt-LLChipm_ctau-10_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15_ext1-v1/MINIAODSIM,T1_US_FNAL_Disk,2.1486,5/22/20,1590181824000,916,916,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SMS-T7WgStealth_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15-v1/MINIAODSIM,T2_US_Wisconsin,4.34323,5/22/20,1590180522000,1271,1271,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v3/MINIAODSIM,T2_DE_DESY,1.18294,8/7/21,1628323215000,490,490,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
